array_n,list,Platform,status
259,"['Jordan's Furniture','Kohler','La-Z-Boy','Leesa','Lowe's','Mattress Firm']",,
260,"['Menards','Moen','Pier 1 Imports','Pottery Barn','Purple','Raymour & Flanigan']",,
261,"['Restoration Hardware','Rooms to Go','Rugs USA','Saatva','Sealy','Serta']",,
262,"['Serta iComfort','Shaw Floors','Simmons Beautyrest','Sleep Number','Sleepys','Tempur-Pedic']",,
263,"['True Value','Tuft and Needle','Value City Furniture','Wayfair','White Barn Candle','Williams-Sonoma']",,
264,"['Yankee Candle','Academy','Bass Pro Shops','Beachbody','Best Buy','Big 5 Sporting Goods']",,
265,"['Blink Fitness','Bowflex','Cabela's','Champs','Conn's','Crunch Gym']",,
266,"['Dick's','F.Y.E','Flywheel Sports','Fred's','GameStop','GNC']",,
267,"['Hibbett Sports','Jenny Craig','LA Fitness','Modell's','MyFitnessPal','Nautilus']",,
268,"['Noom','Nordic Track','Nutrisystem','Orange Theory','P.C. Richard & Son','Peloton']",,
269,"['Planet Fitness','REI','Schwinn','SoulCycle','The Vitamin Shoppe','Weight Watchers']",,
270,"['abercrombie kids','Alexis Bittar','American Girl','American Greetings','Athlete's Foot','Bailey Banks & Biddle']",,
271,"['Barnes & Noble','Build-A-Bear Workshop','Carter's','Children's Place','Disney Store','DSW Shoes']",,
272,"['Famous Footwear','Foot Locker','Gap Kids','Gymboree','Hallmark','Helzberg Diamonds']",,
273,"['Jared','John Hardy (jewelry)','Journey's','Justice','Kay','Kendra Scott']",,
274,"['Mattel','Office Depot','OfficeMax','Pandora (jewelry)','Papyrus','Rack Room Shoes']",,
275,"['Shoe Carnival','Staples','The Finish Line','The LEGO Store','Tiffany & Co.','Toys  Us']",,
276,"['Zales','Andersen Windows','Behr','Benjamin Moore','Black & Decker','Bosch']",,
277,"['Craftsman','DeWalt','Diablo','Dremel','Hilti','Husky']",,
278,"['Husqvarna','Irwin','Jet','John Deere','Lincoln Electric','Makita']",,
279,"['Milwaukee','Pella','Porter Cable','Ramset','Ridgid','RotoZip']",,
280,"['Ryobi','Sherwin Williams','Skil','Stanley','Starrett','Toro']",,
281,"['Universal Tool','Valspar','Wagner','Aeromexico','Air Canada','Air France']",,
282,"['Air New Zealand','Alaska Air','Alitalia','American Airlines','British Airways','Cathay Pacific']",,
283,"['Delta','EasyJet','El Al','Emirates','Frontier','Hawaiian Airlines']",,
284,"['JetBlue','KLM','Korean Air','Lufthansa','Norwegian','Qantas']",,
285,"['Qatar Airways','Singapore Airlines','Southwest','Spirit Airlines','United','Virgin Atlantic']",,
286,"['Alamo','American Express Travel','Amtrak','Avis','Booking.com','Budget']",,
287,"['Busch Gardens','Carnival Cruise Line','Cedar Point','Celebrity Cruises','CheapTickets','choicehotels.com']",,
288,"['Colonial Williamsburg','Cruise (a self-driving car service)','Disneyland / Disney World','Dollar','Enterprise','Expedia']",,
289,"['Great Wolf Lodge','Greyhound','Hertz','Holland America Line','Hotels.com','HotelTonight']",,
290,"['Hotwire.com','Kalahari','Knott's Berry Farm','Lyft','National','Norwegian Cruise Lines']",,
291,"['Orbitz','Priceline.com','Princess Cruises','Royal Caribbean Cruises','Sea World','Six Flags']",,
292,"['Thrifty','Travelocity','travelzoo.com','Tripadvisor','Trivago','Uber']",,
293,"['Universal Studios','Universal Studios Hollywood','Universal Studios Orlando','Viking Ocean Cruises','Virgin Voyages','Waymo (a self-driving car service)']",,
294,"['Zipcar','airbnb','Aloft','Andaz','Best Western','Comfort Inn']",,
